D³ugoœæ;G³êbokoœæ;Wysokoœæ;;Cena katalogowa 2022;Cena katalogowa 11.2021;Ró¿nica 11.2021-12.2021;;
2100;700;850;3119.217;6255;4747;32;3119;
2200;700;850;3119.227;6359;4820;32;3119;
2300;700;850;3119.237;6462;4893;32;3119;
2400;700;850;3119.247;6566;4966;32;3119;
800;800;850;3119.088;5076;3904;30;3119;
900;800;850;3119.098;5193;3986;30;3119;
1000;800;850;3119.108;5310;4069;30;3119;
1100;800;850;3119.118;5426;4151;31;3119;
1200;800;850;3119.128;5543;4233;31;3119;
1300;800;850;3119.138;5660;4315;31;3119;
1400;800;850;3119.148;5776;4397;31;3119;
1500;800;850;3119.158;5893;4479;32;3119;
1600;800;850;3119.168;6010;4561;32;3119;
1700;800;850;3119.178;6126;4643;32;3119;
1800;800;850;3119.188;6243;4725;32;3119;
1900;800;850;3119.198;6360;4808;32;3119;
2000;800;850;3119.208;6518;4926;32;3119;
2100;800;850;3119.218;6636;5008;32;3119;
2200;800;850;3119.228;6752;5090;33;3119;
2300;800;850;3119.238;6869;5172;33;3119;
2400;800;850;3119.248;6986;5255;33;3119;
800;600;850;3112.086;5004;3918;28;3112;
900;600;850;3112.096;5067;3964;28;3112;
1000;600;850;3112.106;5130;4010;28;3112;
1100;600;850;3112.116;5192;4056;28;3112;
1200;600;850;3112.126;5255;4102;28;3112;
1300;600;850;3112.136;5318;4148;28;3112;
1400;600;850;3112.146;5347;4170;28;3112;
1500;600;850;3112.156;5444;4240;28;3112;
1600;600;850;3112.166;5507;4286;28;3112;
1700;600;850;3112.176;5570;4332;29;3112;
1800;600;850;3112.186;5633;4378;29;3112;
1900;600;850;3112.196;5695;4424;29;3112;
2000;600;850;3112.206;5800;4506;29;3112;
2100;600;850;3112.216;5863;4552;29;3112;
2200;600;850;3112.226;5926;4598;29;3112;
2300;600;850;3112.236;5989;4644;29;3112;
2400;600;850;3112.246;6052;4689;29;3112;
800;700;850;3112.087;5141;4014;28;3112;
900;700;850;3112.097;5208;4062;28;3112;
1000;700;850;3112.107;5275;4111;28;3112;
1100;700;850;3112.117;5341;4160;28;3112;
1200;700;850;3112.127;5408;4208;29;3112;
1300;700;850;3112.137;5475;4257;29;3112;
1400;700;850;3112.147;5542;4305;29;3112;
1500;700;850;3112.157;5608;4354;29;3112;
1600;700;850;3112.167;5675;4402;29;3112;
1700;700;850;3112.177;5742;4451;29;3112;
1800;700;850;3112.187;5808;4500;29;3112;
1900;700;850;3112.197;5875;4548;29;3112;
2000;700;850;3112.207;5984;4633;29;3112;
2100;700;850;3112.217;6050;4681;29;3112;
2200;700;850;3112.227;6117;4730;29;3112;
2300;700;850;3112.237;6184;4779;29;3112;
2400;700;850;3112.247;6250;4827;29;3112;
800;800;850;3112.088;5324;4141;29;3112;
900;800;850;3112.098;5400;4196;29;3112;
1000;800;850;3112.108;5477;4251;29;3112;
1100;800;850;3112.118;5553;4306;29;3112;
1200;800;850;3112.128;5629;4361;29;3112;
1300;800;850;3112.138;5706;4417;29;3112;
1400;800;850;3112.148;5782;4472;29;3112;
1500;800;850;3112.158;5858;4527;29;3112;
1600;800;850;3112.168;5935;4582;30;3112;
1700;800;850;3112.178;6011;4637;30;3112;
1800;800;850;3112.188;6087;4692;30;3112;
1900;800;850;3112.198;6163;4747;30;3112;
2000;800;850;3112.208;6282;4839;30;3112;
2100;800;850;3112.218;6358;4894;30;3112;
2200;800;850;3112.228;6434;4949;30;3112;
2300;800;850;3112.238;6511;5005;30;3112;
2400;800;850;3112.248;6587;5060;30;3112;
800;600;850;3120.086;5252;4097;28;3120;
900;600;850;3120.096;5347;4165;28;3120;
1000;600;850;3120.106;5443;4232;29;3120;
1100;600;850;3120.116;5539;4300;29;3120;
1200;600;850;3120.126;5634;4367;29;3120;
1300;600;850;3120.136;5730;4435;29;3120;
1400;600;850;3120.146;5825;4502;29;3120;
1500;600;850;3120.156;5921;4570;30;3120;
1600;600;850;3120.166;6017;4638;30;3120;
1700;600;850;3120.176;6112;4705;30;3120;
1800;600;850;3120.186;6208;4773;30;3120;
1900;600;850;3120.196;6304;4841;30;3120;
2000;600;850;3120.206;6441;4944;30;3120;
2100;600;850;3120.216;6537;5012;30;3120;
2200;600;850;3120.226;6632;5080;31;3120;
2300;600;850;3120.236;6728;5147;31;3120;
2400;600;850;3120.246;6824;5215;31;3120;
800;700;850;3120.087;5411;4207;29;3120;
900;700;850;3120.097;5514;4279;29;3120;
1000;700;850;3120.107;5617;4352;29;3120;
1100;700;850;3120.117;5721;4425;29;3120;
1200;700;850;3120.127;5824;4498;29;3120;
1300;700;850;3120.137;5928;4571;30;3120;
1400;700;850;3120.147;6031;4644;30;3120;
1500;700;850;3120.157;6134;4717;30;3120;
1600;700;850;3120.167;6237;4790;30;3120;
1700;700;850;3120.177;6341;4863;30;3120;
1800;700;850;3120.187;6444;4935;31;3120;
1900;700;850;3120.197;6547;5008;31;3120;
2000;700;850;3120.207;6692;5117;31;3120;
2100;700;850;3120.217;6796;5190;31;3120;
2200;700;850;3120.227;6899;5263;31;3120;
2300;700;850;3120.237;7002;5336;31;3120;
2400;700;850;3120.247;7105;5409;31;3120;
800;800;850;3120.088;5616;4348;29;3120;
900;800;850;3120.098;5733;4430;29;3120;
1000;800;850;3120.108;5849;4512;30;3120;
1100;800;850;3120.118;5966;4594;30;3120;
1200;800;850;3120.128;6083;4676;30;3120;
1300;800;850;3120.138;6199;4758;30;3120;
1400;800;850;3120.148;6317;4841;30;3120;
1500;800;850;3120.158;6433;4923;31;3120;
1600;800;850;3120.168;6550;5005;31;3120;
1700;800;850;3120.178;6667;5087;31;3120;
1800;800;850;3120.188;6783;5169;31;3120;
1900;800;850;3120.198;6900;5251;31;3120;
2000;800;850;3120.208;7058;5369;31;3120;
2100;800;850;3120.218;7175;5451;32;3120;
2200;800;850;3120.228;7292;5534;32;3120;
2300;800;850;3120.238;7409;5616;32;3120;
2400;800;850;3120.248;7525;5698;32;3120;
800;600;850;3133.086;2971;2405;24;3133;
900;600;850;3133.096;3042;2459;24;3133;
1000;600;850;3133.106;3113;2513;24;3133;
1100;600;850;3133.116;3184;2567;24;3133;
1200;600;850;3133.126;3255;2621;24;3133;
1300;600;850;3133.136;3326;2675;24;3133;
1400;600;850;3133.146;3397;2729;24;3133;
1500;600;850;3133.156;3469;2784;25;3133;
1600;600;850;3133.166;3540;2838;25;3133;
1700;600;850;3133.176;3611;2892;25;3133;
1800;600;850;3133.186;3682;2946;25;3133;
1900;600;850;3133.196;3753;3000;25;3133;
2000;600;850;3133.206;3866;3092;25;3133;
2100;600;850;3133.216;3937;3146;25;3133;
2200;600;850;3133.226;4008;3200;25;3133;
2300;600;850;3133.236;4079;3254;25;3133;
2400;600;850;3133.246;4150;3308;25;3133;
800;700;850;3133.087;3130;2520;24;3133;
900;700;850;3133.097;3205;2577;24;3133;
1000;700;850;3133.107;3280;2633;25;3133;
1100;700;850;3133.117;3354;2690;25;3133;
1200;700;850;3133.127;3429;2747;25;3133;
1300;700;850;3133.137;3504;2804;25;3133;
1400;700;850;3133.147;3579;2861;25;3133;
1500;700;850;3133.157;3654;2917;25;3133;
1600;700;850;3133.167;3729;2974;25;3133;
1700;700;850;3133.177;3804;3031;25;3133;
1800;700;850;3133.187;3879;3088;26;3133;
1900;700;850;3133.197;3954;3145;26;3133;
2000;700;850;3133.207;4071;3240;26;3133;
2100;700;850;3133.217;4145;3297;26;3133;
2200;700;850;3133.227;4220;3354;26;3133;
2300;700;850;3133.237;4295;3410;26;3133;
2400;700;850;3133.247;4370;3467;26;3133;
800;800;850;3133.088;3334;2667;25;3133;
900;800;850;3133.098;3418;2731;25;3133;
1000;800;850;3133.108;3503;2795;25;3133;
1100;800;850;3133.118;3587;2858;26;3133;
1200;800;850;3133.128;3672;2922;26;3133;
1300;800;850;3133.138;3756;2986;26;3133;
1400;800;850;3133.148;3841;3050;26;3133;
1500;800;850;3133.158;3925;3113;26;3133;
1600;800;850;3133.168;4010;3177;26;3133;
1700;800;850;3133.178;4095;3241;26;3133;
1800;800;850;3133.188;4179;3305;26;3133;
1900;800;850;3133.198;4263;3369;27;3133;
2000;800;850;3133.208;4390;3470;26;3133;
2100;800;850;3133.218;4474;3534;27;3133;
2200;800;850;3133.228;4559;3598;27;3133;
2300;800;850;3133.238;4643;3662;27;3133;
2400;800;850;3133.248;4728;3726;27;3133;
800;600;850;3134.086;3175;2565;24;3134;
900;600;850;3134.096;3271;2636;24;3134;
1000;600;850;3134.106;3367;2707;24;3134;
1100;600;850;3134.116;3462;2778;25;3134;
1200;600;850;3134.126;3558;2848;25;3134;
1300;600;850;3134.136;3653;2919;25;3134;
1400;600;850;3134.146;3749;2990;25;3134;
1500;600;850;3134.156;3844;3061;26;3134;
1600;600;850;3134.166;3940;3132;26;3134;
1700;600;850;3134.176;4036;3203;26;3134;
1800;600;850;3134.186;4131;3274;26;3134;
1900;600;850;3134.196;4227;3345;26;3134;
2000;600;850;3134.206;4364;3453;26;3134;
2100;600;850;3134.216;4460;3524;27;3134;
2200;600;850;3134.226;4555;3595;27;3134;
2300;600;850;3134.236;4651;3666;27;3134;
2400;600;850;3134.246;4747;3737;27;3134;
800;700;850;3134.087;3353;2693;24;3134;
900;700;850;3134.097;3456;2769;25;3134;
1000;700;850;3134.107;3559;2846;25;3134;
1100;700;850;3134.117;3662;2922;25;3134;
1200;700;850;3134.127;3766;2999;26;3134;
1300;700;850;3134.137;3869;3075;26;3134;
1400;700;850;3134.147;3972;3151;26;3134;
1500;700;850;3134.157;4075;3228;26;3134;
1600;700;850;3134.167;4179;3304;26;3134;
1700;700;850;3134.177;4282;3381;27;3134;
1800;700;850;3134.187;4385;3457;27;3134;
1900;700;850;3134.197;4489;3534;27;3134;
2000;700;850;3134.207;4634;3648;27;3134;
2100;700;850;3134.217;4737;3724;27;3134;
2200;700;850;3134.227;4840;3801;27;3134;
2300;700;850;3134.237;4943;3877;27;3134;
2400;700;850;3134.247;5047;3954;28;3134;
800;800;850;3134.088;3576;2854;25;3134;
900;800;850;3134.098;3693;2940;26;3134;
1000;800;850;3134.108;3810;3027;26;3134;
1100;800;850;3134.118;3927;3113;26;3134;
1200;800;850;3134.128;4044;3200;26;3134;
1300;800;850;3134.138;4161;3286;27;3134;
1400;800;850;3134.148;4278;3373;27;3134;
1500;800;850;3134.158;4396;3459;27;3134;
1600;800;850;3134.168;4513;3546;27;3134;
1700;800;850;3134.178;4630;3632;27;3134;
1800;800;850;3134.188;4747;3718;28;3134;
1900;800;850;3134.198;4864;3805;28;3134;
2000;800;850;3134.208;5023;3929;28;3134;
2100;800;850;3134.218;5140;4016;28;3134;
2200;800;850;3134.228;5258;4102;28;3134;
2300;800;850;3134.238;5375;4189;28;3134;
2400;800;850;3134.248;5492;4275;28;3134;
800;600;850;3155.086;1774;1482;20;3155;
900;600;850;3155.096;1900;1583;20;3155;
1000;600;850;3155.106;2026;1684;20;3155;
1100;600;850;3155.116;2152;1786;20;3155;
1200;600;850;3155.126;2305;1906;21;3155;
1300;600;850;3155.136;2432;2008;21;3155;
1400;600;850;3155.146;2557;2109;21;3155;
1500;600;850;3155.156;2683;2211;21;3155;
1600;600;850;3155.166;2810;2312;22;3155;
1700;600;850;3155.176;2936;2414;22;3155;
1800;600;850;3155.186;3062;2515;22;3155;
1900;600;850;3155.196;3188;2617;22;3155;
2000;600;850;3155.206;3314;2718;22;3155;
2100;600;850;3155.216;3705;3048;22;3155;
2200;600;850;3155.226;3831;3150;22;3155;
2300;600;850;3155.236;3957;3251;22;3155;
2400;600;850;3155.246;4083;3352;22;3155;
2500;600;850;3155.256;4209;3454;22;3155;
2600;600;850;3155.266;4335;3555;22;3155;
2700;600;850;3155.276;4461;3656;22;3155;
2800;600;850;3155.286;4588;3758;22;3155;
2900;600;850;3155.296;4714;3859;22;3155;
800;700;850;3155.087;1929;1606;20;3155;
900;700;850;3155.097;2071;1720;20;3155;
1000;700;850;3155.107;2214;1835;21;3155;
1100;700;850;3155.117;2356;1949;21;3155;
1200;700;850;3155.127;2531;2087;21;3155;
1300;700;850;3155.137;2674;2201;21;3155;
1400;700;850;3155.147;2816;2316;22;3155;
1500;700;850;3155.157;2959;2430;22;3155;
1600;700;850;3155.167;3101;2544;22;3155;
1700;700;850;3155.177;3244;2659;22;3155;
1800;700;850;3155.187;3386;2773;22;3155;
1900;700;850;3155.197;3529;2888;22;3155;
2000;700;850;3155.207;3671;3002;22;3155;
2100;700;850;3155.217;4090;3355;22;3155;
2200;700;850;3155.227;4232;3469;22;3155;
2300;700;850;3155.237;4375;3584;22;3155;
2400;700;850;3155.247;4517;3698;22;3155;
2500;700;850;3155.257;4660;3813;22;3155;
2600;700;850;3155.267;4802;3927;22;3155;
2700;700;850;3155.277;4945;4042;22;3155;
2800;700;850;3155.287;5087;4156;22;3155;
2900;700;850;3155.297;5230;4270;22;3155;
800;800;850;3155.088;2084;1730;21;3155;
900;800;850;3155.098;2243;1857;21;3155;
1000;800;850;3155.108;2402;1985;21;3155;
1100;800;850;3155.118;2560;2112;21;3155;
1200;800;850;3155.128;2758;2267;22;3155;
1300;800;850;3155.138;2917;2394;22;3155;
1400;800;850;3155.148;3075;2522;22;3155;
1500;800;850;3155.158;3234;2649;22;3155;
1600;800;850;3155.168;3393;2777;22;3155;
1700;800;850;3155.178;3551;2904;22;3155;
1800;800;850;3155.188;3710;3031;22;3155;
1900;800;850;3155.198;3869;3159;22;3155;
2000;800;850;3155.208;4027;3286;23;3155;
2100;800;850;3155.218;4474;3661;22;3155;
2200;800;850;3155.228;4634;3790;22;3155;
2300;800;850;3155.238;4793;3917;22;3155;
2400;800;850;3155.248;4952;4044;22;3155;
2500;800;850;3155.258;5110;4172;22;3155;
2600;800;850;3155.268;5269;4299;23;3155;
2700;800;850;3155.278;5428;4427;23;3155;
2800;800;850;3155.288;5586;4554;23;3155;
2900;800;850;3155.298;5746;4682;23;3155;
800;600;850;3156.086;2627;2413;9;3156;
900;600;850;3156.096;2842;2615;9;3156;
1000;600;850;3156.106;3086;2838;9;3156;
1100;600;850;3156.116;3301;3040;9;3156;
1200;600;850;3156.126;3516;3243;8;3156;
1300;600;850;3156.136;3760;3465;9;3156;
1400;600;850;3156.146;3975;3667;8;3156;
1500;600;850;3156.156;4190;3870;8;3156;
1600;600;850;3156.166;4434;4092;8;3156;
1700;600;850;3156.176;4649;4294;8;3156;
1800;600;850;3156.186;4864;4496;8;3156;
1900;600;850;3156.196;5108;4719;8;3156;
2000;600;850;3156.206;5323;4921;8;3156;
2100;600;850;3156.216;5795;5352;8;3156;
2200;600;850;3156.226;6039;5574;8;3156;
2300;600;850;3156.236;6254;5777;8;3156;
2400;600;850;3156.246;6469;5979;8;3156;
2500;600;850;3156.256;6713;6201;8;3156;
2600;600;850;3156.266;6928;6404;8;3156;
2700;600;850;3156.276;7143;6606;8;3156;
2800;600;850;3156.286;7387;6828;8;3156;
2900;600;850;3156.296;7602;7030;8;3156;
800;700;850;3156.087;2917;2683;9;3156;
900;700;850;3156.097;3165;2916;9;3156;
1000;700;850;3156.107;3447;3173;9;3156;
1100;700;850;3156.117;3694;3406;8;3156;
1200;700;850;3156.127;3942;3639;8;3156;
1300;700;850;3156.137;4224;3896;8;3156;
1400;700;850;3156.147;4471;4129;8;3156;
1500;700;850;3156.157;4718;4362;8;3156;
1600;700;850;3156.167;5001;4619;8;3156;
1700;700;850;3156.177;5248;4852;8;3156;
1800;700;850;3156.187;5495;5084;8;3156;
1900;700;850;3156.197;5777;5342;8;3156;
2000;700;850;3156.207;6025;5575;8;3156;
2100;700;850;3156.217;6536;6042;8;3156;
2200;700;850;3156.227;6818;6300;8;3156;
2300;700;850;3156.237;7065;6532;8;3156;
2400;700;850;3156.247;7313;6765;8;3156;
2500;700;850;3156.257;7595;7022;8;3156;
2600;700;850;3156.267;7842;7255;8;3156;
2700;700;850;3156.277;8090;7488;8;3156;
2800;700;850;3156.287;8372;7745;8;3156;
2900;700;850;3156.297;8619;7978;8;3156;
800;800;850;3156.088;3208;2953;9;3156;
900;800;850;3156.098;3487;3216;8;3156;
1000;800;850;3156.108;3808;3509;9;3156;
1100;800;850;3156.118;4088;3772;8;3156;
1200;800;850;3156.128;4367;4035;8;3156;
1300;800;850;3156.138;4687;4327;8;3156;
1400;800;850;3156.148;4967;4590;8;3156;
1500;800;850;3156.158;5246;4854;8;3156;
1600;800;850;3156.168;5567;5146;8;3156;
1700;800;850;3156.178;5846;5409;8;3156;
1800;800;850;3156.188;6126;5672;8;3156;
1900;800;850;3156.198;6446;5965;8;3156;
2000;800;850;3156.208;6726;6228;8;3156;
2100;800;850;3156.218;7277;6732;8;3156;
2200;800;850;3156.228;7598;7025;8;3156;
2300;800;850;3156.238;7877;7288;8;3156;
2400;800;850;3156.248;8157;7551;8;3156;
2500;800;850;3156.258;8477;7843;8;3156;
2600;800;850;3156.268;8756;8106;8;3156;
2700;800;850;3156.278;9036;8370;8;3156;
2800;800;850;3156.288;9354;8660;8;3156;
2900;800;850;3156.298;9636;8925;8;3156;
800;600;850;3151.086;1749;1591;10;3151;
900;600;850;3151.096;1832;1672;10;3151;
1000;600;850;3151.106;1915;1753;9;3151;
1100;600;850;3151.116;1998;1834;9;3151;
1200;600;850;3151.126;2110;1938;9;3151;
1300;600;850;3151.136;2193;2019;9;3151;
1400;600;850;3151.146;2276;2100;8;3151;
1500;600;850;3151.156;2359;2181;8;3151;
1600;600;850;3151.166;2441;2262;8;3151;
1700;600;850;3151.176;2524;2343;8;3151;
1800;600;850;3151.186;2607;2424;8;3151;
1900;600;850;3151.196;2689;2505;7;3151;
2000;600;850;3151.206;2772;2586;7;3151;
2100;600;850;3151.216;3123;2918;7;3151;
2200;600;850;3151.226;3206;2999;7;3151;
2300;600;850;3151.236;3289;3080;7;3151;
2400;600;850;3151.246;3372;3161;7;3151;
2500;600;850;3151.256;3454;3242;7;3151;
2600;600;850;3151.266;3537;3323;6;3151;
2700;600;850;3151.276;3620;3404;6;3151;
2800;600;850;3151.286;3702;3485;6;3151;
2900;600;850;3151.296;3785;3566;6;3151;
800;700;850;3151.087;1812;1641;10;3151;
900;700;850;3151.097;1899;1726;10;3151;
1000;700;850;3151.107;1986;1810;10;3151;
1100;700;850;3151.117;2073;1895;9;3151;
1200;700;850;3151.127;2196;2007;9;3151;
1300;700;850;3151.137;2283;2091;9;3151;
1400;700;850;3151.147;2370;2175;9;3151;
1500;700;850;3151.157;2457;2260;9;3151;
1600;700;850;3151.167;2544;2344;9;3151;
1700;700;850;3151.177;2632;2429;8;3151;
1800;700;850;3151.187;2719;2513;8;3151;
1900;700;850;3151.197;2806;2597;8;3151;
2000;700;850;3151.207;2893;2682;8;3151;
2100;700;850;3151.217;3259;3027;8;3151;
2200;700;850;3151.227;3346;3111;8;3151;
2300;700;850;3151.237;3433;3196;7;3151;
2400;700;850;3151.247;3520;3280;7;3151;
2500;700;850;3151.257;3608;3365;7;3151;
2600;700;850;3151.267;3695;3449;7;3151;
2700;700;850;3151.277;3782;3534;7;3151;
2800;700;850;3151.287;3868;3617;7;3151;
2900;700;850;3151.297;3956;3702;7;3151;
800;800;850;3151.088;1965;1798;9;3151;
900;800;850;3151.098;2067;1899;9;3151;
1000;800;850;3151.108;2170;2000;8;3151;
1100;800;850;3151.118;2273;2101;8;3151;
1200;800;850;3151.128;2416;2234;8;3151;
1300;800;850;3151.138;2519;2335;8;3151;
1400;800;850;3151.148;2622;2436;8;3151;
1500;800;850;3151.158;2725;2537;7;3151;
1600;800;850;3151.168;2828;2638;7;3151;
1700;800;850;3151.178;2930;2739;7;3151;
1800;800;850;3151.188;3033;2840;7;3151;
1900;800;850;3151.198;3136;2941;7;3151;
2000;800;850;3151.208;3238;3042;6;3151;
2100;800;850;3151.218;3626;3408;6;3151;
2200;800;850;3151.228;3729;3509;6;3151;
2300;800;850;3151.238;3832;3610;6;3151;
2400;800;850;3151.248;3935;3712;6;3151;
2500;800;850;3151.258;4038;3813;6;3151;
2600;800;850;3151.268;4140;3914;6;3151;
2700;800;850;3151.278;4243;4015;6;3151;
2800;800;850;3151.288;4346;4116;6;3151;
2900;800;850;3151.298;4448;4217;5;3151;
500;500;850;3150.055;1646;1439;14;3150;
600;500;850;3150.065;1806;1723;5;3150;
500;600;850;3150.056;1826;1742;5;3150;
600;600;850;3150.066;1985;1894;5;3150;
600;600;400;3145.066.4;784;672;17;3145;
600;600;500;3145.066.5;852;761;12;3145;
900;700;850;3141.097;1988;1606;24;3141;
900;700;850;3142.097;2268;1828;24;3142;
900;700;850;3143.097;2658;2187;22;3143;
900;700;850;3144.097;2946;2417;22;3144;
400;600;850;3000.046;2133;1687;26;3000;
500;600;850;3000.056;2319;1819;28;3000;
600;600;850;3000.066;2483;1935;28;3000;
700;600;850;3000.076;2646;2050;29;3000;
800;600;850;3000.086;2809;2166;30;3000;
900;600;850;3000.096;2972;2282;30;3000;
1000;600;850;3000.106;3136;2397;31;3000;
1100;600;850;3000.116;3299;2513;31;3000;
1200;600;850;3000.126;3462;2629;32;3000;
1300;600;850;3000.136;3626;2745;32;3000;
1400;600;850;3000.146;3789;2861;32;3000;
1500;600;850;3000.156;3953;2977;33;3000;
1600;600;850;3000.166;4116;3092;33;3000;
1700;600;850;3000.176;4379;3279;34;3000;
1800;600;850;3000.186;4549;3399;34;3000;
1900;600;850;3000.196;4718;3519;34;3000;
2000;600;850;3000.206;4934;3672;34;3000;
2100;600;850;3000.216;5440;4063;34;3000;
2200;600;850;3000.226;5603;4178;34;3000;
2300;600;850;3000.236;5767;4294;34;3000;
2400;600;850;3000.246;5930;4410;34;3000;
2500;600;850;3000.256;6093;4526;35;3000;
2600;600;850;3000.266;6257;4642;35;3000;
2700;600;850;3000.276;6420;4758;35;3000;
2800;600;850;3000.286;6584;4873;35;3000;
2900;600;850;3000.296;6747;4989;35;3000;
400;700;850;3000.047;2262;1778;27;3000;
500;700;850;3000.057;2459;1918;28;3000;
600;700;850;3000.067;2634;2042;29;3000;
700;700;850;3000.077;2809;2166;30;3000;
800;700;850;3000.087;2984;2290;30;3000;
900;700;850;3000.097;3159;2414;31;3000;
1000;700;850;3000.107;3334;2538;31;3000;
1100;700;850;3000.117;3508;2662;32;3000;
1200;700;850;3000.127;3683;2786;32;3000;
1300;700;850;3000.137;3858;2910;33;3000;
1400;700;850;3000.147;4033;3034;33;3000;
1500;700;850;3000.157;4208;3158;33;3000;
1600;700;850;3000.167;4383;3281;34;3000;
1700;700;850;3000.177;4658;3476;34;3000;
1800;700;850;3000.187;4838;3604;34;3000;
1900;700;850;3000.197;5019;3733;34;3000;
2000;700;850;3000.207;5271;3913;35;3000;
2100;700;850;3000.217;5801;4319;34;3000;
2200;700;850;3000.227;5976;4443;35;3000;
2300;700;850;3000.237;6151;4567;35;3000;
2400;700;850;3000.247;6326;4691;35;3000;
2500;700;850;3000.257;6500;4814;35;3000;
2600;700;850;3000.267;6675;4938;35;3000;
2700;700;850;3000.277;6850;5062;35;3000;
2800;700;850;3000.287;7025;5186;35;3000;
2900;700;850;3000.297;7200;5310;36;3000;
400;800;850;3000.048;2416;1887;28;3000;
500;800;850;3000.058;2630;2039;29;3000;
600;800;850;3000.068;2822;2175;30;3000;
700;800;850;3000.078;3014;2312;30;3000;
800;800;850;3000.088;3207;2448;31;3000;
900;800;850;3000.098;3399;2584;32;3000;
1000;800;850;3000.108;3591;2720;32;3000;
1100;800;850;3000.118;3783;2856;32;3000;
1200;800;850;3000.128;3975;2992;33;3000;
1300;800;850;3000.138;4167;3129;33;3000;
1400;800;850;3000.148;4360;3265;34;3000;
1500;800;850;3000.158;4552;3401;34;3000;
1600;800;850;3000.168;4744;3537;34;3000;
1700;800;850;3000.178;5036;3744;34;3000;
1800;800;850;3000.188;5234;3885;35;3000;
1900;800;850;3000.198;5432;4025;35;3000;
2000;800;850;3000.208;5711;4225;35;3000;
2100;800;850;3000.218;6284;4661;35;3000;
2200;800;850;3000.228;6476;4797;35;3000;
2300;800;850;3000.238;6668;4933;35;3000;
2400;800;850;3000.248;6861;5070;35;3000;
2500;800;850;3000.258;7053;5206;35;3000;
2600;800;850;3000.268;7245;5342;36;3000;
2700;800;850;3000.278;7437;5478;36;3000;
2800;800;850;3000.288;7629;5614;36;3000;
2900;800;850;3000.298;7821;5751;36;3000;
600/900;600/900;850;3070.066;4224;3531;20;3070;
700/1000;600/900;850;3070.076;4470;3722;20;3070;
800/1100;600/900;850;3070.086;4716;3912;21;3070;
600/900;700/1000;850;3070.067;4419;3682;20;3070;
700/1000;700/1000;850;3070.077;4676;3882;20;3070;
800/1100;700/1000;850;3070.087;4934;4082;21;3070;
600/900;800/1100;850;3070.068;4613;3832;20;3070;
700/1000;800/1100;850;3070.078;4882;4042;21;3070;
800/1100;800/1100;850;3070.088;5152;4251;21;3070;
600/900;600/900;850;3071.066;4551;3844;18;3071;
700/1000;600/900;850;3071.076;4781;4023;19;3071;
800/1100;600/900;850;3071.086;5011;4201;19;3071;
600/900;700/1000;850;3071.067;4746;3995;19;3071;
700/1000;700/1000;850;3071.077;4987;4183;19;3071;
800/1100;700/1000;850;3071.087;5229;4371;20;3071;
600/900;800/1100;850;3071.068;4940;4146;19;3071;
700/1000;800/1100;850;3071.078;5193;4343;20;3071;
800/1100;800/1100;850;3071.088;5447;4540;20;3071;
400;600;850;3040.046;2542;2022;26;3040;
500;600;850;3040.056;2746;2167;27;3040;
600;600;850;3040.066;2950;2312;28;3040;
700;600;850;3040.076;3375;2659;27;3040;
800;600;850;3040.086;3579;2803;28;3040;
900;600;850;3040.096;3784;2948;28;3040;
1000;600;850;3040.106;3988;3093;29;3040;
1100;600;850;3040.116;4192;3238;29;3040;
1200;600;850;3040.126;4397;3383;30;3040;
1300;600;850;3040.136;4601;3528;30;3040;
1400;600;850;3040.146;5050;3892;30;3040;
1500;600;850;3040.156;5255;4037;30;3040;
1600;600;850;3040.166;5459;4182;31;3040;
1700;600;850;3040.176;5764;4398;31;3040;
1800;600;850;3040.186;5974;4547;31;3040;
1900;600;850;3040.196;6488;4974;30;3040;
2000;600;850;3040.206;6745;5156;31;3040;
2100;600;850;3040.216;6956;5305;31;3040;
2200;600;850;3040.226;7166;5454;31;3040;
2300;600;850;3040.236;7376;5603;32;3040;
2400;600;850;3040.246;7587;5753;32;3040;
400;700;850;3040.047;2671;2114;26;3040;
500;700;850;3040.057;2887;2267;27;3040;
600;700;850;3040.067;3102;2420;28;3040;
700;700;850;3040.077;3538;2775;28;3040;
800;700;850;3040.087;3754;2927;28;3040;
900;700;850;3040.097;3970;3081;29;3040;
1000;700;850;3040.107;4186;3233;29;3040;
1100;700;850;3040.117;4402;3387;30;3040;
1200;700;850;3040.127;4618;3540;30;3040;
1300;700;850;3040.137;4834;3693;31;3040;
1400;700;850;3040.147;5294;4065;30;3040;
1500;700;850;3040.157;5510;4218;31;3040;
1600;700;850;3040.167;5726;4371;31;3040;
1700;700;850;3040.177;6041;4595;31;3040;
1800;700;850;3040.187;6263;4752;32;3040;
1900;700;850;3040.197;6790;5188;31;3040;
2000;700;850;3040.207;7068;5385;31;3040;
2100;700;850;3040.217;7290;5542;32;3040;
2200;700;850;3040.227;7512;5700;32;3040;
2300;700;850;3040.237;7734;5857;32;3040;
2400;700;850;3040.247;7956;6014;32;3040;
400;800;850;3040.048;2822;2221;27;3040;
500;800;850;3040.058;3055;2386;28;3040;
600;800;850;3040.068;3288;2552;29;3040;
700;800;850;3040.078;3741;2919;28;3040;
800;800;850;3040.088;3974;3084;29;3040;
900;800;850;3040.098;4208;3249;30;3040;
1000;800;850;3040.108;4441;3414;30;3040;
1100;800;850;3040.118;4674;3579;31;3040;
1200;800;850;3040.128;4907;3745;31;3040;
